movie_title,content_rating,content_rating_id,genres,genres_encoded,directors,runtime,original_release_date,tomatometer_status,tomatometer_rating,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Percy Jackson & the Olympians: The Lightning Thief,PG,1,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",Chris Columbus,119.0,2010-02-12,Rotten,49.0,43,73,76
Please Give,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Nicole Holofcener,90.0,2010-04-30,Certified-Fresh,87.0,44,123,19
10,R,3,"Comedy, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",Blake Edwards,122.0,1979-10-05,Fresh,67.0,2,16,8
12 Angry Men (Twelve Angry Men),NR,5,"Classics, Drama","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Sidney Lumet,95.0,1957-04-13,Certified-Fresh,100.0,6,54,0
"20,000 Leagues Under The Sea",G,0,"Action & Adventure, Drama, Kids & Family","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Richard Fleischer,127.0,1954-01-01,Fresh,89.0,5,24,3
"10,000 B.C.",PG-13,2,"Action & Adventure, Classics, Drama","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Roland Emmerich,109.0,2008-03-07,Rotten,8.0,37,12,137
The 39 Steps,NR,5,"Action & Adventure, Classics, Mystery & Suspense","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Alfred Hitchcock,80.0,1935-08-01,Certified-Fresh,96.0,8,49,2
3:10 to Yuma,NR,5,"Classics, Drama, Western","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Delmer Daves,92.0,1957-08-07,Fresh,96.0,6,27,1
Charly (A Heartbeat Away),PG,1,"Comedy, Drama, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",Adam Thomas Anderegg,103.0,2002-09-27,Rotten,20.0,0,2,8
Abraham Lincoln,NR,5,"Classics, Drama","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",D.W. Griffith,97.0,1930-11-08,Fresh,82.0,4,9,2
Dark Water,PG-13,2,"Art House & International, Horror, Mystery & Suspense","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Hideo Nakata,100.0,2002-01-19,Fresh,80.0,3,12,3
The Accused,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Jonathan Kaplan,110.0,1988-10-14,Fresh,91.0,1,20,2
The Lost City,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Andy Garcia,143.0,2005-09-03,Rotten,25.0,37,21,62
The Breaking Point,NR,5,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Michael Curtiz,97.0,1950-10-06,Fresh,100.0,1,10,0
Adam's Rib,NR,5,"Classics, Comedy, Romance","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",George Cukor,101.0,1949-11-18,Fresh,96.0,6,27,1
The Bridge of San Luis Rey,PG,1,"Art House & International, Drama, Faith & Spirituality","[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Mary McGuckian,124.0,2005-06-10,Rotten,4.0,13,1,23
The Prowler (Cost of Living ),PG,1,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Joseph Losey,92.0,1951-12-03,Fresh,100.0,6,18,0
Criminal,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Greggory Jacobs, Gregory Jacobs, Greg Jacobs",87.0,2004-09-24,Fresh,69.0,35,85,39
The Adventures of Mark Twain,G,0,"Action & Adventure, Animation, Kids & Family","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Will Vinton,86.0,1985-03-01,Fresh,80.0,1,4,1
Deep Blue,G,0,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Andy Byatt, Alastair Fothergill",90.0,2005-06-17,Fresh,67.0,18,35,17
The Adventures of Robin Hood,PG,1,"Action & Adventure, Classics, Romance","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","Michael Curtiz, William Keighley",102.0,1938-05-14,Certified-Fresh,100.0,8,48,0
Man Hunt,NR,5,"Classics, Drama, Mystery & Suspense","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Fritz Lang,100.0,1941-01-01,Fresh,92.0,0,11,1
