movie_title,content_rating,content_rating_id,genres,genres_encoded,runtime,original_release_date,tomatometer_status,tomatometer_rating,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,status_encoded,binary_tomatometer_status,content_rating_one_hot,original_release_month,original_release_year
Percy Jackson & the Olympians: The Lightning Thief,PG,1,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",119.0,2010-02-12,Rotten,49.0,43,73,76,"[1, 0, 0]",0,"[0, 1, 0, 0, 0, 0]",2,2010
Please Give,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,2010-04-30,Certified-Fresh,87.0,44,123,19,"[0, 0, 1]",1,"[0, 0, 0, 1, 0, 0]",4,2010
10,R,3,"Comedy, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",122.0,1979-10-05,Fresh,67.0,2,16,8,"[0, 1, 0]",1,"[0, 0, 0, 1, 0, 0]",10,1979
12 Angry Men (Twelve Angry Men),NR,5,"Classics, Drama","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",95.0,1957-04-13,Certified-Fresh,100.0,6,54,0,"[0, 0, 1]",1,"[0, 0, 0, 0, 0, 1]",4,1957
"20,000 Leagues Under The Sea",G,0,"Action & Adventure, Drama, Kids & Family","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",127.0,1954-01-01,Fresh,89.0,5,24,3,"[0, 1, 0]",1,"[1, 0, 0, 0, 0, 0]",1,1954
"10,000 B.C.",PG-13,2,"Action & Adventure, Classics, Drama","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",109.0,2008-03-07,Rotten,8.0,37,12,137,"[1, 0, 0]",0,"[0, 0, 1, 0, 0, 0]",3,2008
The 39 Steps,NR,5,"Action & Adventure, Classics, Mystery & Suspense","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",80.0,1935-08-01,Certified-Fresh,96.0,8,49,2,"[0, 0, 1]",1,"[0, 0, 0, 0, 0, 1]",8,1935
3:10 to Yuma,NR,5,"Classics, Drama, Western","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",92.0,1957-08-07,Fresh,96.0,6,27,1,"[0, 1, 0]",1,"[0, 0, 0, 0, 0, 1]",8,1957
Charly (A Heartbeat Away),PG,1,"Comedy, Drama, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",103.0,2002-09-27,Rotten,20.0,0,2,8,"[1, 0, 0]",0,"[0, 1, 0, 0, 0, 0]",9,2002
Abraham Lincoln,NR,5,"Classics, Drama","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",97.0,1930-11-08,Fresh,82.0,4,9,2,"[0, 1, 0]",1,"[0, 0, 0, 0, 0, 1]",11,1930
Dark Water,PG-13,2,"Art House & International, Horror, Mystery & Suspense","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",100.0,2002-01-19,Fresh,80.0,3,12,3,"[0, 1, 0]",1,"[0, 0, 1, 0, 0, 0]",1,2002
The Accused,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",110.0,1988-10-14,Fresh,91.0,1,20,2,"[0, 1, 0]",1,"[0, 0, 0, 1, 0, 0]",10,1988
The Lost City,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",143.0,2005-09-03,Rotten,25.0,37,21,62,"[1, 0, 0]",0,"[0, 0, 0, 1, 0, 0]",9,2005
The Breaking Point,NR,5,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",97.0,1950-10-06,Fresh,100.0,1,10,0,"[0, 1, 0]",1,"[0, 0, 0, 0, 0, 1]",10,1950
Adam's Rib,NR,5,"Classics, Comedy, Romance","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",101.0,1949-11-18,Fresh,96.0,6,27,1,"[0, 1, 0]",1,"[0, 0, 0, 0, 0, 1]",11,1949
The Bridge of San Luis Rey,PG,1,"Art House & International, Drama, Faith & Spirituality","[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",124.0,2005-06-10,Rotten,4.0,13,1,23,"[1, 0, 0]",0,"[0, 1, 0, 0, 0, 0]",6,2005
The Prowler (Cost of Living ),PG,1,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",92.0,1951-12-03,Fresh,100.0,6,18,0,"[0, 1, 0]",1,"[0, 1, 0, 0, 0, 0]",12,1951
Criminal,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",87.0,2004-09-24,Fresh,69.0,35,85,39,"[0, 1, 0]",1,"[0, 0, 0, 1, 0, 0]",9,2004
The Adventures of Mark Twain,G,0,"Action & Adventure, Animation, Kids & Family","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",86.0,1985-03-01,Fresh,80.0,1,4,1,"[0, 1, 0]",1,"[1, 0, 0, 0, 0, 0]",3,1985
Deep Blue,G,0,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",90.0,2005-06-17,Fresh,67.0,18,35,17,"[0, 1, 0]",1,"[1, 0, 0, 0, 0, 0]",6,2005
The Adventures of Robin Hood,PG,1,"Action & Adventure, Classics, Romance","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",102.0,1938-05-14,Certified-Fresh,100.0,8,48,0,"[0, 0, 1]",1,"[0, 1, 0, 0, 0, 0]",5,1938
Man Hunt,NR,5,"Classics, Drama, Mystery & Suspense","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",100.0,1941-01-01,Fresh,92.0,0,11,1,"[0, 1, 0]",1,"[0, 0, 0, 0, 0, 1]",1,1941
Dead End,R,3,"Comedy, Horror, Mystery & Suspense","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",83.0,2003-09-26,Fresh,75.0,1,6,2,"[0, 1, 0]",1,"[0, 0, 0, 1, 0, 0]",9,2003
Bandwagon,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",103.0,1997-09-12,Fresh,80.0,1,4,1,"[0, 1, 0]",1,"[0, 0, 0, 1, 0, 0]",9,1997
Whore,R,3,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",77.0,2004-04-16,Rotten,0.0,4,0,6,"[1, 0, 0]",0,"[0, 0, 0, 1, 0, 0]",4,2004
Tristan & Isolde,PG-13,2,"Drama, Science Fiction & Fantasy, Romance","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",126.0,2006-01-13,Rotten,31.0,36,38,83,"[1, 0, 0]",0,"[0, 0, 1, 0, 0, 0]",1,2006
Wild Side,NR,5,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",94.0,2005-06-10,Fresh,63.0,4,10,6,"[0, 1, 0]",1,"[0, 0, 0, 0, 0, 1]",6,2005
A Tale of Two Pizzas,PG,1,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",82.0,2003-11-07,Rotten,38.0,5,3,5,"[1, 0, 0]",0,"[0, 1, 0, 0, 0, 0]",11,2003
Running Scared,R,3,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",121.0,2006-02-24,Rotten,41.0,39,54,77,"[1, 0, 0]",0,"[0, 0, 0, 1, 0, 0]",2,2006
Going the Distance,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",93.0,2004-08-20,Rotten,0.0,2,0,5,"[1, 0, 0]",0,"[0, 0, 0, 1, 0, 0]",8,2004
Ultraviolet,PG-13,2,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",88.0,2006-03-03,Rotten,8.0,21,7,76,"[1, 0, 0]",0,"[0, 0, 1, 0, 0, 0]",3,2006
Home of the Brave,R,3,"Action & Adventure, Documentary, Drama, Special Interest","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",75.0,2004-05-11,Fresh,93.0,7,14,1,"[0, 1, 0]",1,"[0, 0, 0, 1, 0, 0]",5,2004
Arthur and the Invisibles (Arthur and the Minimoys),PG,1,"Animation, Kids & Family, Science Fiction & Fantasy","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",94.0,2007-01-12,Rotten,22.0,30,20,72,"[1, 0, 0]",0,"[0, 1, 0, 0, 0, 0]",1,2007
Malevolence,R,3,Horror,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,2004-09-10,Rotten,33.0,4,6,12,"[1, 0, 0]",0,"[0, 0, 0, 1, 0, 0]",9,2004
